Sample holder length =	6.9500e-003 meters
Sample thickness =	2.0000e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
5120000000.0000	  -0.6950	  -0.2764	  -0.1592	  -0.5294	  -0.1627	  -0.5291	  -0.5266	   0.5215
5200000000.0000	  -0.6977	  -0.2711	  -0.1705	  -0.5206	  -0.1727	  -0.5220	  -0.5129	   0.5361
5280000000.0000	  -0.7043	  -0.2660	  -0.1786	  -0.5108	  -0.1813	  -0.5137	  -0.4985	   0.5506
5360000000.0000	  -0.7087	  -0.2590	  -0.1853	  -0.5037	  -0.1890	  -0.5043	  -0.4849	   0.5657
5440000000.0000	  -0.7109	  -0.2540	  -0.1952	  -0.4964	  -0.1985	  -0.4957	  -0.4703	   0.5788
5520000000.0000	  -0.7155	  -0.2500	  -0.2035	  -0.4868	  -0.2069	  -0.4892	  -0.4551	   0.5914
5600000000.0000	  -0.7209	  -0.2447	  -0.2101	  -0.4789	  -0.2147	  -0.4811	  -0.4387	   0.6044
5680000000.0000	  -0.7230	  -0.2383	  -0.2182	  -0.4721	  -0.2220	  -0.4712	  -0.4240	   0.6167
5760000000.0000	  -0.7244	  -0.2328	  -0.2272	  -0.4612	  -0.2300	  -0.4620	  -0.4084	   0.6278
5840000000.0000	  -0.7290	  -0.2283	  -0.2326	  -0.4517	  -0.2369	  -0.4545	  -0.3917	   0.6380
5920000000.0000	  -0.7319	  -0.2222	  -0.2383	  -0.4461	  -0.2429	  -0.4464	  -0.3744	   0.6493
6000000000.0000	  -0.7327	  -0.2164	  -0.2472	  -0.4375	  -0.2497	  -0.4368	  -0.3584	   0.6594
6080000000.0000	  -0.7346	  -0.2105	  -0.2533	  -0.4257	  -0.2572	  -0.4278	  -0.3420	   0.6681
6160000000.0000	  -0.7380	  -0.2042	  -0.2572	  -0.4183	  -0.2622	  -0.4201	  -0.3234	   0.6766
6240000000.0000	  -0.7394	  -0.1982	  -0.2639	  -0.4120	  -0.2665	  -0.4113	  -0.3062	   0.6857
6320000000.0000	  -0.7385	  -0.1916	  -0.2713	  -0.4010	  -0.2725	  -0.4016	  -0.2887	   0.6937
6400000000.0000	  -0.7410	  -0.1845	  -0.2741	  -0.3907	  -0.2792	  -0.3934	  -0.2711	   0.7001
6480000000.0000	  -0.7438	  -0.1790	  -0.2780	  -0.3853	  -0.2828	  -0.3854	  -0.2517	   0.7064
6560000000.0000	  -0.7438	  -0.1730	  -0.2842	  -0.3769	  -0.2860	  -0.3760	  -0.2334	   0.7130
6640000000.0000	  -0.7439	  -0.1664	  -0.2870	  -0.3656	  -0.2903	  -0.3666	  -0.2162	   0.7193
6720000000.0000	  -0.7456	  -0.1605	  -0.2892	  -0.3587	  -0.2951	  -0.3591	  -0.1970	   0.7227
6800000000.0000	  -0.7468	  -0.1548	  -0.2941	  -0.3528	  -0.2973	  -0.3515	  -0.1772	   0.7270
6880000000.0000	  -0.7453	  -0.1490	  -0.2967	  -0.3424	  -0.2991	  -0.3421	  -0.1585	   0.7307
6960000000.0000	  -0.7434	  -0.1427	  -0.2967	  -0.3344	  -0.3019	  -0.3341	  -0.1402	   0.7335
7040000000.0000	  -0.7449	  -0.1364	  -0.2993	  -0.3299	  -0.3044	  -0.3284	  -0.1205	   0.7342
7120000000.0000	  -0.7442	  -0.1314	  -0.3027	  -0.3222	  -0.3047	  -0.3218	  -0.1014	   0.7340
7200000000.0000	  -0.7389	  -0.1252	  -0.3011	  -0.3139	  -0.3060	  -0.3138	  -0.0831	   0.7342
7280000000.0000	  -0.7357	  -0.1207	  -0.3012	  -0.3109	  -0.3075	  -0.3077	  -0.0662	   0.7311
7360000000.0000	  -0.7342	  -0.1163	  -0.3049	  -0.3079	  -0.3075	  -0.3052	  -0.0489	   0.7278
7440000000.0000	  -0.7273	  -0.1120	  -0.3062	  -0.3022	  -0.3074	  -0.3022	  -0.0318	   0.7239
7520000000.0000	  -0.7213	  -0.1101	  -0.3054	  -0.3006	  -0.3101	  -0.2990	  -0.0194	   0.7198
7600000000.0000	  -0.7192	  -0.1097	  -0.3106	  -0.3008	  -0.3149	  -0.2975	  -0.0066	   0.7152
7680000000.0000	  -0.7179	  -0.1092	  -0.3181	  -0.2981	  -0.3191	  -0.2969	   0.0051	   0.7118
7760000000.0000	  -0.7131	  -0.1098	  -0.3223	  -0.2940	  -0.3240	  -0.2941	   0.0164	   0.7108
7840000000.0000	  -0.7110	  -0.1113	  -0.3282	  -0.2920	  -0.3326	  -0.2898	   0.0267	   0.7106
7920000000.0000	  -0.7143	  -0.1111	  -0.3382	  -0.2879	  -0.3413	  -0.2856	   0.0384	   0.7108
8000000000.0000	  -0.7147	  -0.1107	  -0.3457	  -0.2804	  -0.3478	  -0.2801	   0.0524	   0.7113
8080000000.0000	  -0.7120	  -0.1106	  -0.3505	  -0.2736	  -0.3537	  -0.2718	   0.0663	   0.7133
8160000000.0000	  -0.7144	  -0.1092	  -0.3579	  -0.2669	  -0.3610	  -0.2642	   0.0802	   0.7138
8240000000.0000	  -0.7181	  -0.1057	  -0.3660	  -0.2575	  -0.3680	  -0.2574	   0.0963	   0.7134
