frequency	e'	e''	u'	u''
9120000000.0000	  15.9579	   0.0818	   1.2490	   0.4584
9200000000.0000	  15.9587	   0.1307	   1.2458	   0.4568
9280000000.0000	  15.9648	   0.0962	   1.2388	   0.4566
9360000000.0000	  16.0654	  -0.0149	   1.2340	   0.4534
9440000000.0000	  16.1074	   0.0211	   1.2354	   0.4504
9520000000.0000	  16.0604	   0.0086	   1.2300	   0.4542
9600000000.0000	  16.1142	  -0.0658	   1.2227	   0.4544
9680000000.0000	  16.2162	  -0.0717	   1.2226	   0.4506
9760000000.0000	  16.1646	  -0.0052	   1.2244	   0.4496
9840000000.0000	  16.1321	  -0.0805	   1.2178	   0.4535
9920000000.0000	  16.2717	  -0.1524	   1.2129	   0.4517
10000000000.0000	  16.3214	  -0.0774	   1.2140	   0.4486
10080000000.0000	  16.2208	  -0.0616	   1.2121	   0.4501
10160000000.0000	  16.2535	  -0.1479	   1.2070	   0.4515
10240000000.0000	  16.4025	  -0.1485	   1.2052	   0.4494
10320000000.0000	  16.3821	  -0.0624	   1.2065	   0.4486
10400000000.0000	  16.3206	  -0.1128	   1.2006	   0.4512
10480000000.0000	  16.4279	  -0.1527	   1.1964	   0.4483
10560000000.0000	  16.4979	  -0.0730	   1.1976	   0.4451
10640000000.0000	  16.4091	  -0.0729	   1.1955	   0.4486
10720000000.0000	  16.4314	  -0.1450	   1.1889	   0.4491
10800000000.0000	  16.5296	  -0.1184	   1.1889	   0.4459
10880000000.0000	  16.5019	  -0.0269	   1.1917	   0.4445
10960000000.0000	  16.4625	  -0.1042	   1.1858	   0.4479
11040000000.0000	  16.5860	  -0.1274	   1.1797	   0.4443
11120000000.0000	  16.6289	  -0.0266	   1.1822	   0.4400
11200000000.0000	  16.5369	  -0.0465	   1.1819	   0.4439
11280000000.0000	  16.5920	  -0.1179	   1.1745	   0.4441
11360000000.0000	  16.7559	  -0.0896	   1.1688	   0.4384
11440000000.0000	  16.6979	   0.0184	   1.1733	   0.4373
11520000000.0000	  16.6342	  -0.0643	   1.1687	   0.4422
11600000000.0000	  16.7664	  -0.1508	   1.1583	   0.4401
11680000000.0000	  16.8532	  -0.0531	   1.1583	   0.4353
11760000000.0000	  16.7515	  -0.0355	   1.1594	   0.4382
11840000000.0000	  16.6930	  -0.1476	   1.1530	   0.4437
11920000000.0000	  16.8534	  -0.1440	   1.1458	   0.4387
12000000000.0000	  16.8587	  -0.0760	   1.1481	   0.4377
12080000000.0000	  16.7437	  -0.1395	   1.1458	   0.4440
12160000000.0000	  16.7967	  -0.1898	   1.1385	   0.4418
12240000000.0000	  16.8665	  -0.1648	   1.1366	   0.4394
12320000000.0000	  16.8407	  -0.1249	   1.1394	   0.4406
12400000000.0000	  16.8427	  -0.2378	   1.1307	   0.4441
12480000000.0000	  16.9535	  -0.2302	   1.1237	   0.4387
12560000000.0000	  16.9765	  -0.0774	   1.1283	   0.4342
12640000000.0000	  16.9428	  -0.1421	   1.1261	   0.4378
12720000000.0000	  16.9857	  -0.2770	   1.1157	   0.4398
12800000000.0000	  17.1823	  -0.1864	   1.1093	   0.4303
12880000000.0000	  17.1366	  -0.1001	   1.1131	   0.4302
12960000000.0000	  17.0169	  -0.2153	   1.1106	   0.4373
