Sample holder length =	6.9500e-003 meters
Sample thickness =	4.7400e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
5120000000.0000	  -0.6490	  -0.1183	   0.0392	  -0.6686	   0.0356	  -0.6677	  -0.6303	   0.1641
5200000000.0000	  -0.6500	  -0.1117	   0.0253	  -0.6680	   0.0236	  -0.6673	  -0.6287	   0.1764
5280000000.0000	  -0.6577	  -0.1050	   0.0124	  -0.6641	   0.0118	  -0.6653	  -0.6268	   0.1898
5360000000.0000	  -0.6635	  -0.0940	   0.0030	  -0.6618	   0.0012	  -0.6622	  -0.6263	   0.2030
5440000000.0000	  -0.6634	  -0.0867	  -0.0080	  -0.6624	  -0.0111	  -0.6606	  -0.6241	   0.2149
5520000000.0000	  -0.6679	  -0.0818	  -0.0205	  -0.6594	  -0.0224	  -0.6603	  -0.6206	   0.2270
5600000000.0000	  -0.6744	  -0.0730	  -0.0313	  -0.6568	  -0.0337	  -0.6589	  -0.6175	   0.2405
5680000000.0000	  -0.6759	  -0.0624	  -0.0421	  -0.6570	  -0.0451	  -0.6552	  -0.6154	   0.2526
5760000000.0000	  -0.6751	  -0.0566	  -0.0563	  -0.6542	  -0.0570	  -0.6523	  -0.6121	   0.2642
5840000000.0000	  -0.6809	  -0.0506	  -0.0671	  -0.6488	  -0.0676	  -0.6507	  -0.6071	   0.2761
5920000000.0000	  -0.6842	  -0.0386	  -0.0751	  -0.6482	  -0.0780	  -0.6487	  -0.6030	   0.2894
6000000000.0000	  -0.6824	  -0.0306	  -0.0879	  -0.6485	  -0.0894	  -0.6454	  -0.5994	   0.3010
6080000000.0000	  -0.6841	  -0.0256	  -0.1017	  -0.6425	  -0.1018	  -0.6426	  -0.5947	   0.3115
6160000000.0000	  -0.6887	  -0.0148	  -0.1098	  -0.6377	  -0.1113	  -0.6404	  -0.5883	   0.3237
6240000000.0000	  -0.6877	  -0.0037	  -0.1194	  -0.6386	  -0.1210	  -0.6371	  -0.5835	   0.3364
6320000000.0000	  -0.6846	   0.0022	  -0.1340	  -0.6365	  -0.1325	  -0.6336	  -0.5785	   0.3472
6400000000.0000	  -0.6891	   0.0100	  -0.1443	  -0.6294	  -0.1449	  -0.6316	  -0.5720	   0.3577
6480000000.0000	  -0.6911	   0.0226	  -0.1516	  -0.6273	  -0.1545	  -0.6286	  -0.5646	   0.3697
6560000000.0000	  -0.6875	   0.0306	  -0.1637	  -0.6272	  -0.1640	  -0.6246	  -0.5586	   0.3813
6640000000.0000	  -0.6892	   0.0355	  -0.1759	  -0.6208	  -0.1748	  -0.6204	  -0.5529	   0.3914
6720000000.0000	  -0.6918	   0.0463	  -0.1840	  -0.6166	  -0.1865	  -0.6185	  -0.5443	   0.4013
6800000000.0000	  -0.6890	   0.0579	  -0.1941	  -0.6171	  -0.1959	  -0.6154	  -0.5363	   0.4127
6880000000.0000	  -0.6869	   0.0622	  -0.2073	  -0.6129	  -0.2057	  -0.6107	  -0.5297	   0.4236
6960000000.0000	  -0.6890	   0.0706	  -0.2155	  -0.6071	  -0.2166	  -0.6072	  -0.5219	   0.4327
7040000000.0000	  -0.6884	   0.0840	  -0.2236	  -0.6062	  -0.2274	  -0.6058	  -0.5123	   0.4424
7120000000.0000	  -0.6846	   0.0910	  -0.2381	  -0.6042	  -0.2367	  -0.6021	  -0.5036	   0.4524
7200000000.0000	  -0.6842	   0.0967	  -0.2493	  -0.5959	  -0.2485	  -0.5967	  -0.4962	   0.4627
7280000000.0000	  -0.6842	   0.1081	  -0.2553	  -0.5927	  -0.2596	  -0.5916	  -0.4871	   0.4697
7360000000.0000	  -0.6797	   0.1186	  -0.2669	  -0.5930	  -0.2683	  -0.5895	  -0.4767	   0.4789
7440000000.0000	  -0.6750	   0.1247	  -0.2817	  -0.5870	  -0.2775	  -0.5856	  -0.4667	   0.4892
7520000000.0000	  -0.6757	   0.1333	  -0.2880	  -0.5792	  -0.2886	  -0.5803	  -0.4586	   0.4966
7600000000.0000	  -0.6718	   0.1448	  -0.2966	  -0.5780	  -0.3004	  -0.5764	  -0.4473	   0.5038
