frequency	e'	e''	u'	u''
9120000000.0000	   6.0194	   0.6755	   0.9272	  -0.0116
9200000000.0000	   6.0373	   0.7065	   0.9240	  -0.0145
9280000000.0000	   6.0375	   0.7286	   0.9223	  -0.0172
9360000000.0000	   6.0493	   0.6892	   0.9223	  -0.0139
9440000000.0000	   6.0693	   0.6914	   0.9208	  -0.0136
9520000000.0000	   6.0706	   0.7272	   0.9184	  -0.0170
9600000000.0000	   6.0736	   0.7223	   0.9173	  -0.0166
9680000000.0000	   6.0999	   0.6903	   0.9160	  -0.0126
9760000000.0000	   6.1040	   0.7306	   0.9140	  -0.0165
9840000000.0000	   6.0865	   0.7427	   0.9141	  -0.0181
9920000000.0000	   6.1186	   0.7099	   0.9113	  -0.0142
10000000000.0000	   6.1569	   0.7110	   0.9075	  -0.0128
10080000000.0000	   6.1348	   0.7608	   0.9070	  -0.0176
10160000000.0000	   6.1180	   0.7460	   0.9078	  -0.0165
10240000000.0000	   6.1778	   0.7127	   0.9021	  -0.0119
10320000000.0000	   6.2010	   0.7580	   0.8986	  -0.0152
10400000000.0000	   6.1747	   0.7859	   0.8984	  -0.0183
10480000000.0000	   6.2038	   0.7642	   0.8942	  -0.0163
10560000000.0000	   6.2732	   0.7765	   0.8862	  -0.0166
10640000000.0000	   6.2580	   0.8206	   0.8852	  -0.0215
10720000000.0000	   6.2528	   0.8218	   0.8838	  -0.0226
10800000000.0000	   6.3142	   0.8215	   0.8766	  -0.0226
10880000000.0000	   6.3406	   0.8749	   0.8720	  -0.0283
10960000000.0000	   6.3121	   0.8810	   0.8733	  -0.0304
11040000000.0000	   6.3593	   0.8799	   0.8677	  -0.0306
11120000000.0000	   6.4282	   0.9311	   0.8591	  -0.0348
11200000000.0000	   6.3934	   0.9761	   0.8606	  -0.0403
11280000000.0000	   6.3829	   0.9553	   0.8608	  -0.0398
11360000000.0000	   6.4786	   0.9752	   0.8500	  -0.0408
11440000000.0000	   6.5157	   1.0675	   0.8439	  -0.0493
11520000000.0000	   6.4710	   1.0845	   0.8464	  -0.0522
11600000000.0000	   6.5122	   1.0648	   0.8413	  -0.0506
11680000000.0000	   6.6194	   1.1497	   0.8282	  -0.0576
11760000000.0000	   6.6009	   1.2252	   0.8273	  -0.0655
11840000000.0000	   6.5812	   1.2059	   0.8281	  -0.0645
11920000000.0000	   6.6791	   1.2546	   0.8157	  -0.0682
12000000000.0000	   6.7331	   1.3715	   0.8068	  -0.0788
12080000000.0000	   6.6973	   1.4032	   0.8081	  -0.0830
12160000000.0000	   6.7299	   1.4171	   0.8030	  -0.0842
12240000000.0000	   6.8023	   1.5515	   0.7909	  -0.0958
12320000000.0000	   6.7760	   1.6944	   0.7878	  -0.1108
12400000000.0000	   6.7959	   1.6825	   0.7848	  -0.1099
12480000000.0000	   6.8817	   1.8154	   0.7710	  -0.1203
12560000000.0000	   6.8362	   2.1463	   0.7616	  -0.1522
12640000000.0000	   6.7419	   2.2551	   0.7634	  -0.1667
12720000000.0000	   6.8142	   2.2895	   0.7534	  -0.1678
12800000000.0000	   6.8027	   2.6786	   0.7339	  -0.2021
12880000000.0000	   6.5065	   2.9209	   0.7423	  -0.2392
12960000000.0000	   6.3488	   2.9326	   0.7520	  -0.2515
13040000000.0000	   6.3368	   3.1974	   0.7324	  -0.2751
13120000000.0000	   5.9816	   3.4630	   0.7363	  -0.3238
13200000000.0000	   5.5552	   3.4536	   0.7666	  -0.3636
13280000000.0000	   5.4720	   3.3590	   0.7797	  -0.3664
13360000000.0000	   5.2437	   3.4507	   0.7852	  -0.4004
13440000000.0000	   4.7974	   3.3297	   0.8338	  -0.4480
13520000000.0000	   4.6212	   3.0974	   0.8802	  -0.4552
13600000000.0000	   4.5739	   2.9921	   0.8985	  -0.4549
13680000000.0000	   4.2826	   2.8949	   0.9440	  -0.4941
13760000000.0000	   4.1366	   2.5752	   1.0181	  -0.4832
13840000000.0000	   4.1778	   2.3825	   1.0462	  -0.4516
13920000000.0000	   4.1398	   2.3394	   1.0600	  -0.4551
14000000000.0000	   3.9577	   2.1368	   1.1316	  -0.4568
14080000000.0000	   4.0237	   1.8832	   1.1667	  -0.3948
14160000000.0000	   4.1828	   1.8728	   1.1347	  -0.3691
14240000000.0000	   4.0972	   1.8342	   1.1607	  -0.3777
14320000000.0000	   4.0514	   1.5971	   1.2129	  -0.3307
14400000000.0000	   4.2430	   1.4866	   1.1821	  -0.2768
14480000000.0000	   4.2829	   1.5774	   1.1611	  -0.2966
14560000000.0000	   4.1927	   1.4660	   1.1999	  -0.2821
14640000000.0000	   4.2823	   1.2768	   1.2020	  -0.2228
14720000000.0000	   4.4446	   1.3555	   1.1521	  -0.2270
14800000000.0000	   4.3692	   1.4003	   1.1671	  -0.2485
14880000000.0000	   4.3518	   1.1884	   1.1954	  -0.1945
14960000000.0000	   4.5334	   1.1390	   1.1536	  -0.1671
15040000000.0000	   4.5638	   1.3008	   1.1322	  -0.2064
15120000000.0000	   4.4454	   1.1889	   1.1744	  -0.1898
15200000000.0000	   4.5697	   1.0003	   1.1569	  -0.1291
15280000000.0000	   4.7107	   1.1540	   1.1110	  -0.1606
15360000000.0000	   4.5884	   1.1991	   1.1394	  -0.1822
15440000000.0000	   4.5907	   0.9870	   1.1549	  -0.1262
15520000000.0000	   4.7902	   0.9669	   1.1051	  -0.1094
15600000000.0000	   4.7380	   1.1649	   1.1067	  -0.1654
15680000000.0000	   4.6458	   1.0258	   1.1410	  -0.1350
15760000000.0000	   4.8024	   0.8655	   1.1079	  -0.0849
15840000000.0000	   4.8759	   1.0243	   1.0845	  -0.1212
15920000000.0000	   4.7102	   1.0740	   1.1247	  -0.1464
16000000000.0000	   4.7566	   0.8581	   1.1253	  -0.0866
16080000000.0000	   4.9533	   0.8709	   1.0734	  -0.0818
16160000000.0000	   4.8366	   1.0259	   1.0975	  -0.1260
16240000000.0000	   4.7326	   0.9232	   1.1314	  -0.1068
16320000000.0000	   4.9261	   0.7852	   1.0874	  -0.0620
16400000000.0000	   4.9714	   0.9233	   1.0708	  -0.0946
16480000000.0000	   4.7872	   0.9527	   1.1204	  -0.1103
16560000000.0000	   4.8531	   0.8200	   1.1072	  -0.0745
16640000000.0000	   5.0330	   0.8512	   1.0608	  -0.0761
16720000000.0000	   4.9187	   0.9444	   1.0879	  -0.1030
16800000000.0000	   4.8069	   0.8315	   1.1269	  -0.0762
16880000000.0000	   4.9794	   0.8212	   1.0785	  -0.0680
16960000000.0000	   5.0376	   0.9319	   1.0590	  -0.0932
17040000000.0000	   4.8858	   0.8851	   1.1029	  -0.0867
17120000000.0000	   4.9030	   0.7919	   1.1047	  -0.0587
17200000000.0000	   5.0514	   0.8780	   1.0591	  -0.0760
17280000000.0000	   5.0152	   0.9281	   1.0672	  -0.0885
17360000000.0000	   4.9250	   0.8226	   1.0971	  -0.0626
17440000000.0000	   4.9996	   0.7946	   1.0771	  -0.0534
17520000000.0000	   5.0700	   0.9093	   1.0521	  -0.0806
17600000000.0000	   5.0121	   0.8895	   1.0695	  -0.0734
17680000000.0000	   4.9852	   0.7622	   1.0796	  -0.0406
17760000000.0000	   5.0602	   0.8231	   1.0558	  -0.0591
17840000000.0000	   5.0573	   0.9181	   1.0538	  -0.0822
17920000000.0000	   5.0108	   0.8138	   1.0698	  -0.0508
